GolferID,Name,Wins,Top10s,TotalAchievements
1,Scottie Scheffler,7,16,23
2,Rory McIlroy,2,7,9
3,Xander Schauffele,2,15,17
4,Collin Morikawa,0,8,8
6,Justin Thomas,0,5,5
7,Hideki Matsuyama,2,7,9
8,Russell Henley,0,7,7
9,Viktor Hovland,0,2,2
10,Maverick McNealy,0,4,4
11,Tommy Fleetwood,0,4,4
13,Shane Lowry,1,7,8
14,Justin Rose,0,2,2
15,Patrick Cantlay,0,4,4
16,Sepp Straka,0,4,4
17,Wyndham Clark,1,8,9
18,Tyrrell Hatton,0,1,1
19,Keegan Bradley,1,3,4
20,Sungjae Im,0,8,8
21,Robert MacIntyre,2,6,8
22,Brian Harman,0,3,3
23,Corey Conners,0,3,3
24,Billy Horschel,1,7,8
26,Akshay Bhatia,1,3,4
27,Aaron Rai,1,6,7
28,Sahith Theegala,0,8,8
29,Daniel Berger,0,0,0
30,J.J. Spaun,0,3,3
31,Thomas Detry,0,4,4
32,Jason Day,0,4,4
33,Nick Taylor,1,3,4
34,Andrew Novak,0,4,4
35,Lucas Glover,0,0,0
36,Harris English,0,2,2
37,Tom Kim,0,2,2
38,Sam Burns,0,8,8
39,Adam Scott,0,5,5
41,Tony Finau,0,5,5
42,Tom Hoge,0,3,3
43,Denny McCarthy,0,4,4
44,Max Greyserman,0,4,4
45,Taylor Pendrith,1,6,7
46,J.T. Poston,0,4,4
47,Stephan Jaeger,1,3,4
48,Nick Dunlap,2,4,6
49,Davis Thompson,1,4,5
52,Michael Kim,0,1,1
53,Mackenzie Hughes,0,3,3
56,Ben Griffin,0,4,4
58,Austin Eckroat,1,2,3
59,Jordan Spieth,0,3,3
60,Matthieu Pavon,1,4,5
61,Christiaan Bezuidenhout,0,3,3
63,Eric Cole,0,4,4
64,Cameron Young,0,6,6
65,Joe Highsmith,0,1,1
67,Will Zalatoris,0,3,3
68,Alex Noren,0,4,4
69,Max Homa,0,3,3
70,Jacob Bridgeman,0,0,0
71,Jhonattan Vegas,1,1,2
73,Patrick Rodgers,0,4,4
75,Chris Kirk,1,3,4
77,Sam Stevens,0,3,3
79,Matt Fitzpatrick,0,3,3
81,Kevin Yu,0,4,4
84,Bud Cauley,0,0,0
85,Ryo Hisatsune,0,1,1
86,Matt Wallace,0,1,1
87,Taylor Moore,0,2,2
88,Jake Knapp,1,4,5
90,Adam Hadwin,0,5,5
91,Keith Mitchell,0,3,3
92,Beau Hossler,0,2,2
93,Gary Woodland,0,0,0
94,Justin Lower,0,2,2
96,Lee Hodges,0,0,0
97,Davis Riley,1,1,2
98,Harry Hall,1,1,2
99,Erik van Rooyen,0,4,4
105,Patrick Fishburn,0,3,3
106,Victor Perez,0,3,3
109,Sami Valimaki,0,1,1
110,Kurt Kitayama,0,2,2
111,Doug Ghim,0,1,1
113,Ryan Fox,0,3,3
114,Charley Hoffman,0,3,3
116,Matti Schmid,0,1,1
120,Seamus Power,0,1,1
121,Rico Hoey,0,3,3
122,Rickie Fowler,0,0,0
125,Alejandro Tosti,0,1,1
126,Alex Smalley,0,1,1
127,Chan Kim,0,3,3
128,Mark Hubbard,0,2,2
130,Matt Kuchar,0,1,1
132,Jorge Campillo,0,1,1
134,Hayden Springer,0,3,3
138,Vince Whaley,0,1,1
139,Garrick Higgo,0,1,1
140,Joel Dahmen,0,1,1
144,C.T. Pan,0,2,2
147,Patton Kizzire,0,2,2
148,Emiliano Grillo,0,2,2
151,Michael Thorbjornsen,0,1,1
155,Sam Ryder,0,0,0
156,Adam Schenk,0,1,1
157,Andrew Putnam,0,2,2
160,Chandler Phillips,0,2,2
161,Mac Meissner,0,3,3
162,Carson Young,0,2,2
168,Brendon Todd,0,2,2
169,Adam Svensson,0,2,2
171,Henrik Norlander,0,0,0
172,Zach Johnson,0,0,0
173,Ben Kohles,0,2,2
178,Luke List,0,1,1
181,Pierceson Coody,0,2,2
182,Peter Malnati,1,2,3
183,Brice Garnett,1,1,2
184,Greyson Sigg,0,2,2
189,David Lipsky,0,1,1
193,Harry Higgs,0,0,0
199,Justin Suh,0,0,0
200,Nate Lashley,0,1,1
