GolferID,Name,Wins,Top10s
33,Rory McIlroy,1,2
42,Justin Rose,1,1
28,Min Woo Lee,1,1
17,Brian Harman,1,1
22,Viktor Hovland,1,1
44,Scottie Scheffler,0,2
9,Corey Conners,0,2
63,Ryan Gerard,0,2
109,Bud Cauley,0,2
69,Ryo Hisatsune,0,2
40,Patrick Reed,0,1
11,Bryson DeChambeau,0,1
23,Sung-Jae Im,0,1
1,Ludvig Aberg,0,1
10,Jason Day,0,1
25,Zach Johnson,0,1
102,Gary Woodland,0,1
101,Sami Valimaki,0,1
8,Wyndham Clark,0,1
84,Taylor Pendrith,0,1
100,Alejandro Tosti,0,1
73,Mackenzie Hughes,0,1
34,Maverick McNealy,0,1
126,Andrew Novak,0,1
111,Patrick Fishburn,0,1
19,Tom Hoge,0,1
74,Chan Kim,0,1
127,Thorbjorn Olesen,0,1
135,Jacob Bridgeman,0,1
140,Billy Horschel,0,1
138,Lucas Glover,0,1
136,Ricky Castillo,0,1
55,Eric Cole,0,1
2,Byeong-Hun An,0,1
