Player,Events Played,Total Points,Average Points
Scottie Scheffler,41,579.96,14.15
Rory McIlroy,47,545.72,11.61
Xander Schauffele,40,316.44,7.91
Collin Morikawa,42,271.85,6.47
Ludvig Aberg,45,256.3,5.7
Justin Thomas,44,250.58,5.7
Hideki Matsuyama,45,235.49,5.23
Russell Henley,41,205.26,5.01
Viktor Hovland,40,172.55,4.31
Maverick McNealy,46,183.83,4.0
Tommy Fleetwood,51,188.72,3.7
Bryson DeChambeau,40,145.45,3.64
Shane Lowry,49,174.28,3.56
Justin Rose,45,159.45,3.54
Patrick Cantlay,40,139.99,3.5
Sepp Straka,52,180.72,3.48
Wyndham Clark,47,163.26,3.47
Tyrrell Hatton,40,134.61,3.37
Keegan Bradley,45,150.78,3.35
Sungjae Im,52,171.45,3.3
Robert Macintyre,52,167.62,3.22
Brian Harman,52,165.03,3.17
Corey Conners,47,147.4,3.14
Billy Horschel,52,159.71,3.07
Min Woo Lee,51,146.1,2.86
Akshay Bhatia,52,147.89,2.84
Aaron Rai,52,145.36,2.8
Sahith Theegala,52,145.21,2.79
Daniel Berger,40,111.13,2.78
J.J. Spaun,52,144.46,2.78
Thomas Detry,52,143.28,2.76
Jason Day,43,111.52,2.59
Nick Taylor,50,125.52,2.51
Andrew Novak,52,130.25,2.5
Lucas Glover,52,129.42,2.49
Harris English,47,116.63,2.48
Tom Kim,52,127.2,2.45
Sam Burns,46,112.0,2.43
Adam Scott,49,118.15,2.41
Byeong Hun An,49,117.63,2.4
Tony Finau,46,108.94,2.37
Tom Hoge,52,120.05,2.31
Denny McCarthy,47,106.16,2.26
Max Greyserman,52,116.8,2.25
Taylor Pendrith,52,116.16,2.23
J.T. Poston,52,115.93,2.23
Stephan Jaeger,52,113.95,2.19
Nick Dunlap,40,86.48,2.16
Davis Thompson,52,110.75,2.13
Nicolas Echavarria,52,109.82,2.11
Patrick Reed,40,84.47,2.11
Michael Kim,52,108.11,2.08
Mackenzie Hughes,52,104.94,2.02
Laurie Canter,40,80.46,2.01
Matthew McCarty,52,104.42,2.01
Ben Griffin,52,100.07,1.92
Rasmus Hojgaard,52,99.87,1.92
Austin Eckroat,52,99.43,1.91
Jordan Spieth,42,80.01,1.91
Matthieu Pavon,52,99.02,1.9
Christiaan Bezuidenhout,52,96.17,1.85
Cameron Davis,52,95.75,1.84
Eric Cole,52,94.4,1.82
Cameron Young,49,85.67,1.75
Joe Highsmith,51,88.85,1.74
Si Woo Kim,52,88.74,1.71
Will Zalatoris,40,66.49,1.66
Alex Noren,41,67.97,1.66
Max Homa,47,75.39,1.6
Jacob Bridgeman,52,83.4,1.6
Jhonattan Vegas,40,64.13,1.6
Jon Rahm,40,64.02,1.6
Patrick Rodgers,52,80.78,1.55
Thriston Lawrence,52,80.2,1.54
Chris Kirk,47,71.2,1.51
Max McGreevy,52,78.46,1.51
Sam Stevens,52,78.27,1.51
Rasmus Neergaard-Petersen,49,73.73,1.5
Matt Fitzpatrick,49,73.59,1.5
Ryan Gerard,52,77.9,1.5
Kevin Yu,51,75.96,1.49
Joaquin Niemann,40,59.21,1.48
Thorbjorn Olesen,52,76.56,1.47
Bud Cauley,40,58.83,1.47
Ryo Hisatsune,52,76.18,1.46
Matt Wallace,52,74.99,1.44
Taylor Moore,50,71.18,1.42
Jake Knapp,52,72.99,1.4
